"","Date","Seed","Learner","Hyper_Parameter","Imputing","Time","Resampling_folds","CV_Score","Comment","DistrictSplit","District","Combined_Score"
"233",2024-02-20,682623,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 679, learning_rate = 0.0507620678376406, depth = 12, random_strength = 0.974901686888188, grow_policy = ""Depthwise"")","hot deck",60.9400000000023,5,232.308747719225,"feature selection",TRUE,"jamui","313.861756856396"
"234",2024-02-20,682623,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 134, learning_rate = 0.130383833878441, depth = 13, random_strength = 0.753359059803188, grow_policy = ""SymmetricTree"")","hot deck",20.8499999999767,5,336.829107200527,"feature selection",TRUE,"nalanda","313.861756856396"
"235",2024-02-20,682623,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 602, learning_rate = 0.0334610053850338, depth = 13, random_strength = 1.41068430058658, grow_policy = ""Depthwise"")","hot deck",61.3399999999674,5,376.268253645182,"feature selection",TRUE,"vaishali","313.861756856396"
"236",2024-02-20,682625,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 371, learning_rate = 0.0307863858656492, depth = 13, random_strength = 1.39558642124757, grow_policy = ""SymmetricTree"")","hot deck",27.359999999986,5,270.412146226179,"feature selection",TRUE,"gaya","310.7110212443"
"237",2024-02-20,682625,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 626, learning_rate = 0.0682087118458003, depth = 14, random_strength = 0.800141057232395, grow_policy = ""Depthwise"")","hot deck",91.75,5,230.36244497987,"feature selection",TRUE,"jamui","310.7110212443"
"238",2024-02-20,682625,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 495, learning_rate = 0.102819986715913, depth = 9, random_strength = 1.02196145849302, grow_policy = ""Depthwise"")","hot deck",23.2199999999721,5,323.040923613449,"feature selection",TRUE,"nalanda","310.7110212443"
"239",2024-02-20,682625,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 456, learning_rate = 0.0657523468858562, depth = 14, random_strength = 1.37370304274373, grow_policy = ""SymmetricTree"")","hot deck",79.4400000000023,5,391.528410445962,"feature selection",TRUE,"vaishali","310.7110212443"
"240",2024-02-20,682628,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 491, learning_rate = 0.0529931229073554, depth = 6, random_strength = 0.898010001750663, grow_policy = ""SymmetricTree"")","hot deck",0.739999999990687,5,265.919211316199,"feature selection",TRUE,"gaya","307.308140338137"
"241",2024-02-20,682628,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 303, learning_rate = 0.0691760891955346, depth = 12, random_strength = 0.91938025248237, grow_policy = ""Depthwise"")","hot deck",30.1300000000047,5,234.237228301232,"feature selection",TRUE,"jamui","307.308140338137"
"242",2024-02-20,682628,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 399, learning_rate = 0.141227295666467, depth = 10, random_strength = 1.43667348800227, grow_policy = ""Depthwise"")","hot deck",21.9199999999837,5,323.149391331718,"feature selection",TRUE,"nalanda","307.308140338137"
"243",2024-02-20,682628,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 657, learning_rate = 0.0294001235929318, depth = 12, random_strength = 0.678909090580419, grow_policy = ""SymmetricTree"")","hot deck",42.0999999999767,5,379.510703972042,"feature selection",TRUE,"vaishali","307.308140338137"
